,sample_id,id,sentence,metaphor,gold_domain,majority_vote,top_ranked_domains
29,30,305,"Representative Fred Upton, a Michigan Republican who once called climate change “a serious problem” and co-sponsored a bill to promote energy-efficient light bulbs, tacked right after the 2010 elections as he battled to be chairman of the powerful House Energy and Commerce Committee against Joe Barton, a Texan who mocked human-caused climate change.",tacked,TOOL,TOOL,"[""TOOL"",""FABRIC"",""RULE ENFORCER"",""MOVEMENT"",""CONFINEMENT""]"
30,31,306,But Mr. Biden has resisted tacking left on climate change these past few weeks in the way he did recently when he endorsed Senator Warren’s bankruptcy plan.,tacking,TOOL,TOOL,"[""TOOL"",""CLOTHING"",""RULE ENFORCER"",""LOW POINT"",""STRUGGLE""]"
31,32,308,"Then, in August, the E.P.A. and the Transportation Department moved to gut another major federal effort to combat climate change by relaxing rules aimed at reducing car tailpipe pollution.",moved,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""FORWARD MOVEMENT"",""COMPETITION"",""CONTAINER"",""VISION""]"
32,33,309,"In his rush to bulldoze President Obama’s accomplishments, Mr. Trump has withdrawn from the 12-nation Trans-Pacific Partnership trade agreement, leaving China with a freer hand to set trade rules in Asia; abandoned the hard-won 195-nation Paris Agreement to address climate change; and sowed grave doubts about his commitment to NATO, the bedrock alliance that has kept peace in Europe after World War II.",rush,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""JOURNEY"",""CLOTHING"",""STRUGGLE"",""LOW POINT""]"
33,34,311,He surrendered his standing as an independent thinker in his rush to embrace Mr. Bush’s misbegotten tax policies and to abandon his leadership position on climate change and immigration reform.,rush,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""JOURNEY"",""FORCEFUL EXTRACTION"",""MONSTER"",""PHYSICAL LOCATION""]"
34,35,355,"Just last week, President Barack Obama moved to raise fuel efficiency standards, and a landmark climate bill won passage through a key committee in the House of Representatives.",moved,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""FORWARD MOVEMENT"",""JOURNEY"",""BUILDING"",""FAMILY""]"
35,36,313,"They need to apply the brakes to climate change, live up to past pledges on Africa and halt Iran’s rush to develop nuclear weapons technology.",rush,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""VEHICLE"",""VISION"",""HAZARDOUS GEOGRAPHIC FEATURE"",""VEHICLE""]"
36,37,314,"The organizers of the march to the Bella Center, a group called Climate Justice Action, said they were pushing for radical measures to curb global warming in the final days of the conference.",pushing,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""TEMPERATURE"",""COMPETITION"",""A RIGHT""]"
37,38,317,"Vehicles in Europe would have to reduce carbon dioxide emissions by almost a third by 2030 under proposals unveiled on Wednesday by regulators in Brussels, who were immediately criticized for not doing enough to combat global warming and for succumbing to pressure from Germany and its powerful auto lobby.",lobby,BUILDING,BUILDING,"[""BUILDING"",""SHAPE"",""DISEASE"",""BODY OF WATER"",""MEDICINE""]"
38,39,318,"A New Divestment Focus on Campus: Fossil FuelsEchoing earlier drives to sell stocks with ties to South Africa or tobacco, a student push to use investment choice to fight climate change has gained traction.",drives,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""VEHICLE"",""FAMILY"",""DARKNESS"",""GIFT""]"
39,40,319,"At global warming talks, OPEC pushed for compensation if efforts to cut emissions of heat-trapping gases result in less oil use.",pushed,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""MOVEMENT"",""CROP"",""SERVANT"",""DISEASE""]"
40,41,320,"–  In Congress, Senate Republicans took the first steps to avert a government shutdown, scheduling a vote on a temporary spending plan, while Senate Democrats offered a climate change bill that had no chance of passing but that they said would push for policies that could help them in 2016.",push,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""DELICACY"",""GEOGRAPHIC FEATURE"",""HAZARDOUS GEOGRAPHIC FEATURE""]"
41,42,322,"New York City officials, evoking an apocalyptic vision of Manhattan's tunnels flooded and Kennedy Airport under water, joined a federal suit brought yesterday by New York and seven other states against five of the country's largest power companies in an effort to curb global warming.",vision,VISION,VISION,"[""VISION"",""LIGHT"",""FURNISHINGS"",""ENSLAVEMENT"",""DOWNWARD MOVEMENT""]"
42,43,323,"It offered a frightening vision of the many dangers this country faces — global warming, nuclear proliferation, terrorism — and how much its position has been weakened “by too much unilateralism and too little cooperation.”",vision,VISION,VISION,"[""VISION"",""LIGHT"",""RESOURCE"",""BLOOD STREAM"",""POSITION AND CHANGE OF POSITION ON A SCALE""]"
43,44,324,Those developments are helping shoot-the-moon visions on the left — like “Medicare for all” or a “Green New Deal” to halt climate change with massive public investment — find firmer footing on political ground.,visions,VISION,VISION,"[""VISION"",""STORY"",""COMPETITION"",""WAR"",""ENSLAVEMENT""]"
44,45,325,"One challenge about the coverage is that many people may have a sense that the story line is somewhat fixed – they believe climate change is a problem, or perhaps they don’t.",sense,VISION,VISION,"[""VISION"",""SCIENCE"",""GOAL DIRECTED"",""MONSTER"",""PLANT""]"
45,46,327,"Bill Wasik, deputy editor: “For our special issue on the economic dimension of climate change, Pablo Delcan dreamed up this darkly comic illustration — a collage of multicolored price stickers, adding up to an impressionistic vision of the earth on fire.”",vision,VISION,VISION,"[""VISION"",""LIGHT"",""GAME"",""EMOTION EXPERIENCER"",""MORAL DUTY""]"
46,47,330,"“The interesting thing with climate change, I find, is that positioning on climate change is strikingly predictable based on someone’s political leanings.”",find,VISION,NO METAPHOR,"[""VISION"",""PHYSICAL LOCATION"",""COMPETITION"",""RULE ENFORCER"",""PLIABILITY""]"
47,48,331,It was on display again this fall as he and the chamber found themselves in a maelstrom over climate change policy after a number of member companies noisily resigned in protest over the chamber’s hostile stance on climate legislation.,found,VISION,VISION,"[""VISION"",""PHYSICAL LOCATION"",""MEDICINE"",""STORY"",""BUSINESS""]"
48,49,334,WASHINGTON — Days after introducing her Green New Deal — a plan to combat climate change that has won the endorsement of several Democratic presidential candidates — Representative Alexandria Ocasio-Cortez found the proposal enmeshed in confusion when her staff published a summary that included provisions not endorsed by the candidates.,found,VISION,VISION,"[""VISION"",""PHYSICAL LOCATION"",""FORWARD MOVEMENT"",""HUMAN BODY"",""ADDICTION""]"
49,50,337,A poll conducted by environmental groups in early primary states found that 84 percent of likely Democratic voters ranked acting on climate change and moving the United States fully to clean energy as essential or very important.,found,VISION,NO METAPHOR,"[""VISION"",""PHYSICAL LOCATION"",""PLIABILITY"",""PROTECTION"",""PHYSICAL BURDEN""]"
0,51,522,"While the developed world has criticized India for not doing enough in the battle against global warming, developing countries like China and Brazil have found themselves on India’s side of the debate, asking the developed nations to commit to more cuts instead.",found,VISION,VISION,"[""VISION"",""PHYSICAL LOCATION"",""PHYSICAL OBJECT"",""MAZE"",""WAR""]"
1,52,551,NYT » | More Oil Companies Could Join Exxon Mobil as Focus of Climate InvestigationsBoeing to Pay $57 Million to Settle Suit Over Retirement Plan  |,Settle,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""WEAKNESS"",""DELICACY"",""BODY OF WATER"",""LEADER""]"
2,53,482,NYT » | More Oil Companies Could Join Exxon Mobil as Focus of Climate InvestigationsBoeing to Pay $57 Million to Settle Suit Over Retirement Plan  |,Settle,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""WEAKNESS"",""FABRIC"",""FURNISHINGS"",""PHYSICAL LOCATION""]"
3,54,507,NYT » | More Oil Companies Could Join Exxon Mobil as Focus of Climate InvestigationsBoeing to Pay $57 Million to Settle Suit Over Retirement Plan  |,Settle,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""WEAKNESS"",""PHYSICAL OBJECT"",""FORWARD MOVEMENT"",""PROTECTION""]"
4,55,496,NYT » | More Oil Companies Could Join Exxon Mobil as Focus of Climate InvestigationsBoeing to Pay $57 Million to Settle Suit Over Retirement Plan  |,Settle,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""WEAKNESS"",""FABRIC"",""PHYSICAL OBJECT"",""DARKNESS""]"
5,56,473,NYT » | More Oil Companies Could Join Exxon Mobil as Focus of Climate InvestigationsBoeing to Pay $57 Million to Settle Suit Over Retirement Plan  |,Settle,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""WEAKNESS"",""PLANT"",""PROTECTION"",""MEDICINE""]"
6,57,485,"And let’s pick our heads up to face what might be the great security issue of our time, climate change and disruption.",pick,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""CONTAINER"",""CLOTHING"",""CONFINEMENT"",""JOURNEY""]"
7,58,501,The coniferous forests of western North America are currently experiencing massive tree mortality because climate change has tipped the balance in favor of native bark beetles.,tipped,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""MOVEMENT"",""PATHWAY"",""SIZE"",""DOWNWARD MOVEMENT""]"
8,59,472,Big trees are on the front lines of climate change.,lines,WAR,WAR,"[""WAR"",""BATTLE"",""HIGH LOCATION"",""SERVANT"",""BATTLE""]"
9,60,498,"But he understands that they are on the front line of climate change, perhaps more so than any other type of athlete.",line,WAR,WAR,"[""WAR"",""BATTLE"",""LOW LOCATION"",""SERVANT"",""BLOOD STREAM""]"
10,61,480,"Our geography gives us year-round sun and beautiful beaches, but more and more in the age of climate change, we are on the front line of destruction.",line,WAR,WAR,"[""WAR"",""BATTLE"",""FACTORY"",""MACHINE"",""CONTAMINATION""]"
11,62,490,"But there is some good news to report — and it’s coming from the world’s forests, a critical front line in the effort to slow climate change and conserve biodiversity.",line,WAR,WAR,"[""WAR"",""BATTLE"",""MOVEMENT"",""FACTORY"",""ABYSS""]"
12,63,479,"Hawaii is on the front lines of climate change, so much so that in September, President Barack Obama used it as the base from which to discuss his legacy on the issue, as well as the continued threat from rising seas, extreme weather and other byproducts of a warming planet.",lines,WAR,WAR,"[""WAR"",""BATTLE"",""VISION"",""DARKNESS"",""STRUGGLE""]"
13,64,483,"And American governors, mayors and business leaders have forged their own coalition, even taking over the United States pavilion at United Nations climate talks in Bonn, Germany, this week.",forged,FACTORY,FACTORY,"[""FACTORY"",""FABRIC"",""DESIRE"",""PHYSICAL LOCATION"",""INSANITY""]"
14,65,495,"David Waskow, an expert on climate change negotiations with the World Resources Institute, a research organization in Washington, said: “This continues the momentum and really builds on what they did with the announcement in China.",builds,BUILDING,BUILDING,"[""BUILDING"",""RESOURCE"",""FORWARD MOVEMENT"",""EMOTION EXPERIENCER"",""CONFINEMENT""]"
15,66,478,"He built the piece around President Obama’s heartfelt reaction and response to the Connecticut elementary school massacre and, followed by Joe Romm, noted the lack of any such response from the president or society on the greenhouse buildup despite the risk posed by human-driven climate change.",built,BUILDING,BUILDING,"[""BUILDING"",""BUSINESS"",""SCIENCE"",""LIFE STAGE"",""GAP""]"
16,67,518,"This is an agreement built firmly on science, but also on the hope that the enthusiasm generated in Paris will translate into concrete measures across the globe that will, in fact, prevent the worst consequences of climate change.",built,BUILDING,BUILDING,"[""BUILDING"",""BUSINESS"",""DARKNESS"",""DESIRE"",""CROP""]"
17,68,506,"That sentiment, he said, was built among conservatives during the Clinton and George W. Bush administrations, and exploded during the Obama presidency, with climate change denial becoming a kind of litmus test for conservatism.",built,BUILDING,BUILDING,"[""BUILDING"",""BUSINESS"",""ABYSS"",""MEDICINE"",""HIGH LOCATION""]"
18,69,521,"Because Mrs. Clinton has yet to give a major speech on climate change,  her campaign views Mr. Clinton’s highly visible work on the matter as a political plus.",views,VISION,VISION,"[""VISION"",""GOAL DIRECTED"",""STAGE"",""MOVEMENT"",""FORCEFUL EXTRACTION""]"
19,70,529,"On the Internet  you’ll find sites like exxonsecrets.org, which is maintained by Greenpeace, and takes as its premise the notion that Exxon Mobil is at the heart of a vast conspiracy to sow doubt about global warming, and there’s Exxpose Exxon, a group set up by a coalition of environmental groups to put pressure on the company.",takes,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""AVERSION"",""PATHWAY"",""CROP""]"
20,71,484,"His e-book, “Convenient Action,” published in 2011 when he was chief minister of Gujarat, “frames action on climate change as a moral duty,” according to The Guardian’s Suzanne Goldenberg.",frames,BUILDING,BUILDING,"[""BUILDING"",""OBJECT HANDLING"",""ADDICTION"",""WAR"",""PATHWAY""]"
21,72,561,"Germany, which has long cast itself as a global leader in the fight against climate change, is facing a moment of reckoning.",cast,FURNISHINGS,FURNISHINGS,"[""FURNISHINGS"",""STORY"",""NATURAL PHYSICAL FORCE"",""LOW POINT"",""CONTAINER""]"
22,73,508,"He intimates that, realistically, it is too late for fundamental changes that would halt global warming to be put into practice within what he sees as a 10-year deadline.",sees,VISION,VISION,"[""VISION"",""GOAL DIRECTED"",""UPWARD MOVEMENT"",""EMOTION EXPERIENCER"",""MOVEMENT""]"
23,74,486,He has said that ignoring climate change is a gross negligence by the government and he has shown interest in rebuilding education in the state and making public college tuition free for many.,making,FACTORY,FACTORY,"[""FACTORY"",""BUILDING"",""VEHICLE"",""INSANITY"",""BARRIER""]"
24,75,511,"Mr. Biden’s plan, she said, “will set a clear path to a stronger, more inclusive middle class and create a competitive U.S. economy that rebuilds our infrastructure, makes us the world’s exporter of green technology and stops the worst impacts of climate change that would devastate agriculture, manufacturing and other industries across the country.”",makes,FACTORY,NO METAPHOR,"[""FACTORY"",""FABRIC"",""STAGE"",""WAR"",""ABYSS""]"
25,76,477,"And if you are worried about once and for all taking on global warming, making it clear that we will end the unfunded mandate known as No Child Left Behind, that we will make college affordable again, that we will be once again the country of values and ideals that we cherish so much, then, please, join me in this campaign.",making,FACTORY,FACTORY,"[""FACTORY"",""BUILDING"",""ABYSS"",""FACTORY"",""TOOL""]"
26,77,540,"No, the only way for you, Mr. President, to salvage any legacy is to get back in touch with your green Texas roots and devote the rest of your term to REALLY ending America’s oil addiction, liberating us from dependence on petro-authoritarian regimes and making America the leader in renewable energies that combat climate change.",making,FACTORY,FACTORY,"[""FACTORY"",""BUILDING"",""MAZE"",""WEAKNESS"",""BLOOD STREAM""]"
27,78,474,"She talked about addressing climate change more vigorously, and making what she called “the largest federal investment in closing the teacher pay gap.”",making,FACTORY,FACTORY,"[""FACTORY"",""BUILDING"",""STRENGTH"",""NATURAL PHYSICAL FORCE"",""BARRIER""]"
28,79,487,"Yet rather than talking about ways to reach across the aisle on climate change or offering clear ideas on how to work with fossil fuel-heavy red states on reducing emissions, Governor Brown said Republicans had sole responsibility for shifting positions.",shifting,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""RESOURCE"",""STORY"",""CONFINEMENT"",""NATURAL PHYSICAL FORCE""]"
29,80,500,"There is the candidate who vowed to repeal the Affordable Care Act, deport all undocumented immigrants, rollback financial regulations, undo the Iran nuclear deal and repudiate the Paris agreement on climate change.",rollback,BACKWARD MOVEMENT,BACKWARD MOVEMENT,"[""BACKWARD MOVEMENT"",""DOWNWARD MOVEMENT"",""BODY OF WATER"",""PATHWAY"",""SHAPE""]"
30,81,559,"Though Mr. Rudd’s approval ratings remain strong, recent polls have suggested that climate change is becoming less important to an electorate that has shifted its focus to education and health care reform, skyrocketing housing costs and immigration.",shifted,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""RESOURCE"",""POSITION AND CHANGE OF POSITION ON A SCALE"",""DESIRE"",""RESOURCE""]"
31,82,489,"The Valley lined up heavily against Proposition 23, which would have rolled back California’s landmark climate change law and thus hampered the booming clean-tech industry  —  and the measure lost in a landslide.",rolled,MOVEMENT,MOVEMENT,"[""MOVEMENT"",""OBJECT HANDLING"",""LIFE STAGE"",""OBESITY"",""ADDICTION""]"
32,83,470,"Beyond this pragmatic concern, to manipulate your patient in this way robs her of her dignity (if there can be dignity on an exercise bike) and treats her as less than an adult.",robs,CRIME,CRIME,"[""RAT"",""ANIMAL"",""SIGN, SIGNAL, SYMBOL"",""CRIME"",""PERSON""]"
33,84,502,"In particular, he warned against falling back on simplistic assumptions that “greenery” remained a luxury for good economic times and that countries would put climate change and energy security concerns on hold “while they throw the kitchen sink” at rising unemployment.",throw,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""ABYSS"",""TOOL"",""INSANITY""]"
34,85,491,"WASHINGTON, Jan. 2—                     Even as a proposed treaty on global warming faces an uncertain future in the Senate, big companies are maneuvering to push through legislation giving them valuable credits for early actions to control the waste gases that the binding treaty would strictly limit.",push,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""PATHWAY"",""RACE"",""FACTORY""]"
35,86,476,"Joe Romm draws our attention to the third slice of the latest IPCC report on climate change, on the costs of mitigation; the panel finds that these costs aren’t that big — a few percent of GDP even by the end of the century, which means only a trivial hit to the growth rate.",draws,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""WEATHER"",""SERVANT"",""CROP""]"
36,87,494,"‘BEFORE THE FLOOD’ (No rating, 1:36) Leonardo DiCaprio, a champion of environmental causes, draws attention to climate change in this documentary, though much of the ground he covers will already be familiar to anyone who has watched a nature program or the evening news on TV.",draws,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""PROTECTION"",""LIGHT"",""INSANITY""]"
37,88,516,"Mr. Fridman and RWE made concessions to try to push the deal through, but the British Department of Energy and Climate Change said in a statement on Saturday that these steps did not “adequately and surely alleviate” the concerns of the energy minister, Edward Davey, about the effect that possible future sanctions might have on the operations of the British fields.",push,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""PHYSICAL OBJECT"",""PROTECTION"",""RESOURCE"",""GAME""]"
38,89,504,"Which suggests that in this most toxic of election seasons, when there seems not a single issue that can unite blue and red staters (or at least the politicians thereof), global warming could turn out to be just the thing to bring us all together.",bring,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""MOVEMENT"",""HIGH LOCATION"",""BATTLE"",""WEATHER""]"
39,90,523,"Sponsored by NBC Learn, the educational arm of NBC News; the National Science Foundation; and Discover magazine, the meeting brings together more than 100 students with Rajendra K. Pachauri, who heads the Yale Climate and Energy Institute; Billy Parish, a founder of the Energy Action Coalition, a youth advocacy organization working on climate change issues; Katharine Hayhoe, a research associate professor of geosciences at Texas Tech University; and Linda J. Fisher, vice president for safety, health and environment at DuPont.",brings,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""CONTAINER"",""TOOL"",""FABRIC"",""SCIENCE""]"
40,91,475,"Todd Stern, the United States’ special envoy for climate change and the lead negotiator at the talks here, said that the Rio conference brought together the critical players who could broaden the discussion beyond the rich country-poor country dialogue that had grown tedious.",brought,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""CONTAINER"",""EMOTION EXPERIENCER"",""PHYSICAL HARM"",""DESTROYER""]"
41,92,543,"Whether it is restoring the Constitution to the American people, standing up to this President to end this war, or starting the discussion about what it will really take to tackle global warming and bring the country together, we stand confident that the difference we made in this race will endure longer than any speech, any election or any political campaign.",bring,OBJECT HANDLING,OBJECT HANDLING,"[""OBJECT HANDLING"",""MOVEMENT"",""PROTECTION"",""OBESITY"",""STORY""]"
